"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","820","Can Add Todo item","","Fri Aug 15 10:53:00 UTC 2025","passed","Fri Aug 15 10:53:01 UTC 2025","","","",""
"","497","Can Add Todo item","","Fri Aug 15 10:53:01 UTC 2025","passed","Fri Aug 15 10:53:02 UTC 2025","","","",""
"","203","Can validate fail test scenario","","Fri Aug 15 10:53:02 UTC 2025","failed","Fri Aug 15 10:53:02 UTC 2025","","","",""
"","278","Can remove todo item","","Fri Aug 15 10:53:02 UTC 2025","passed","Fri Aug 15 10:53:02 UTC 2025","","","",""
